;Торговая точка;Торговая точка COD;Торговая точка GUID;Адрес
62;"ООО ""ТОПАЗ"", Магазин «Минимаркет» №29 РАЗ ДВА, 680011, Хабаровский край, г. Хабаровск, ул.Джамбула,3";УП-00094799;DB972AF4-99CF-11E7-80E7-44A8422A0503;680011, Хабаровский край, Хабаровск г, Джамбула ул, дом № 36, помещение 1
64;"ООО ""ТОПАЗ"", Магазин «Минимаркет» № 43 РАЗ ДВА, 680030 Хабаровский край г. Хабаровск, Облачный пер, ";УП-00094808;02CBD3C1-99D3-11E7-80E7-44A8422A0503;680030, Хабаровский край, Хабаровск г, Облачный пер, дом № 64, литера Б
65;"ООО ""ТОПАЗ"", Магазин «Минимаркет» №3 РАЗ ДВА 680028, Хабаровский край, г. Хабаровск, ул.Запарина,135";УП-00094811;F5ECBAAC-99D3-11E7-80E7-44A8422A0503;680028, Хабаровский край, Хабаровск г, Запарина ул, дом № 135, помещение 1
66;"ООО ""ТОПАЗ"", Магазин «Минимаркет» № 12 РАЗ ДВА 680032, Хабаровский край, г. Хабаровск, пр-кт 60-лети";УП-00094785;250E4FEA-99C1-11E7-80E7-44A8422A0503;680032, Хабаровский край, Хабаровск г, 60-летия Октября пр-кт, дом № 67А, помещение 14,24,29,31
67;"ООО ""ТОПАЗ"", Магазин «Минимаркет» № 11 РАЗ ДВА, 680051, Хабаровский край, г. Хабаровск, ул. Суворова";УП-00094781;FCF05C49-99BF-11E7-80E7-44A8422A0503;680051, Хабаровский край, Хабаровск г, Суворова ул, дом № 49А,В
68;"ООО ""ТОПАЗ"", Магазин «Минимаркет» № 20 РАЗ ДВА, 680013,Хабаровский край, г. Хабаровск, ул. Лермонтов";УП-00094793;0648D806-99CD-11E7-80E7-44A8422A0503;680013, Хабаровский край, Хабаровск г, Лермонтова ул, дом № 5, помещение 1
69;"ООО ""Альва"" 680031, Хабаровский край, г. Хабаровск, ул .Окружная, 13А, Лит.Б Б1 Б2 Б3";УП-00095265;D96B9BBA-A8A4-11E7-80E7-44A8422A0503;680031, Хабаровский край, Хабаровск г, Окружная ул, дом № 13А, литера Б,Б1,Б2,Б3
70;"ООО ""ТОПАЗ"", Магазин «Минимаркет» № 23 РАЗ ДВА, 680003, Хабаровский край, г. Хабаровск, ул. Красноре";УП-00094796;CAA81314-99CE-11E7-80E7-44A8422A0503;680003, Хабаровский край, Хабаровск г, Краснореченская ул, дом № 81, помещение 1
72;"ООО ""Аметист"" 680054,Хабаровский край, г. Хабаровск, ул. Трехгорная, 98, Литер А";УП-00095272;A3FF7207-A8A9-11E7-80E7-44A8422A0503;680054, Хабаровский край, Хабаровск г, Трехгорная ул, дом № 98, литера А
73;"ООО ""Венга""  680006, Хабаровский край, г. Хабаровск, ул. Краснореченская, 92, Литер И, И1, И2, И3, И";УП-00095361;20493F96-A995-11E7-80E7-44A8422A0503;680006, Хабаровский край, Хабаровск г, Краснореченская ул, дом № 92, литера И
75;"ООО ""Альва""  680021, Хабаровский край, г. Хабаровск, ул. Батуевская Ветка, 20, Литер Ф";УП-00095264;578647C4-A8A4-11E7-80E7-44A8422A0503;680021, Хабаровский край, Хабаровск г, Батуевская ветка ул, дом № 20, литера Ф
84;"ООО ""Венга""  680006, Хабаровский край, Хабаровск г,, ул, Краснореченская  90, литер 3Т";УП-00095807;374A174D-B531-11E7-80E7-44A8422A0503;680006, Хабаровский край, Хабаровск г, Краснореченская ул, дом № 90, литера 3Т
85;"ООО ""ТОПАЗ"", Магазин «Минимаркет» №18 РАЗ ДВА, 680042, Хабаровский край, г. Хабаровск, ул. Шелеста, ";УП-00094791;5FF82F4E-99CB-11E7-80E7-44A8422A0503;680042, Хабаровский край, Хабаровск г, Шелеста ул, дом № 116А, помещение 1
91;"ООО «Квант» Магазин «Минимаркет» № 50, 680013, Хабаровский край, г. Хабаровск, ул. Ленинградская, 29, в виде помещений  (1-3; 6-19), расположенных на ";УП-00099588;441DCAA3-4379-11E8-80FD-44A8422A0502;"680013, Хабаровский край, Хабаровск г, Ленинградская ул, дом № 29, помещение 1-3;6-19"
94;ООО «Квант» Магазин «Минимаркет» №55, 680000, Хабаровский край,г.Хабаровск, ул. Ким Ю Чена, 43, пом.0(1-12);УП-00107968;41E6929D-6FD0-11E9-810B-44A8422A0502;680000, Хабаровский край, Хабаровск г, Ким Ю Чена ул, дом № 43, помещение 0(1-12)
95;"ООО ""ТОПАЗ"", Магазин «Минимаркет» № 53, 680038, Хабаровский край г. Хабаровск, ул.Серышева 3, пом. I (13-23), расположенные на 1 этаже";УП-00107189;D2F81378-4E95-11E9-8109-44A8422A0502;680038, Хабаровский край, Хабаровск г, Серышева ул, дом № 3, помещение I (13-23), этаж 1
96;"ООО ""ТОПАЗ"", Магазин «Минимаркет» № 37 РАЗ ДВА, 680051, Хабаровский край, г. Хабаровск, ул. Панфилов";УП-00094805;3014C222-99D2-11E7-80E7-44A8422A0503;680051, Хабаровский край, Хабаровск г, Панфиловцев ул, дом № 37, помещение 1
99;Винлаб АО (Хабаровск г, Московская ул, дом № 3);УП-00081903;36EBCD95-D43C-11E5-80D6-44A8421C2298;680000, Хабаровский край, Хабаровск г, Московская ул, дом № 3
100;"Дубынина Л.А. ИП, Магазин ""Продукты"" (Хабаровск г, Краснореченская ул, дом 53)";УП-00080952;CCC9D15F-90F1-11E1-BF75-F46D04E31E4B;680000, Хабаровский край, Хабаровск г, Краснореченская ул, дом № 53
101;ФИД плюс ООО (Хабаровск г, Березовка пгт, Энергетиков ул, 2 а);УП-00080758;160A2571-2B5E-11E5-85B1-005056A00499;680025, Хабаровский край, Хабаровск г, Березовка пгт, Энергетиков ул, дом № 2 а
102;Ерофей ООО, Ленина ул, 43 (м-н Наслаждение);УП-00084950;A44E2374-1BEE-11E6-80D9-44A8421C2298;680030, Хабаровский край, Хабаровск г, Ленина ул, дом № 43
103;Ст-Мега ООО Магазин  Столица, Хабаровск г, Панфиловцев ул, 14;УП-00085815;AD4FB5DD-2E04-11E6-80DB-44A8421C2299;680051, Хабаровский край, Хабаровск г, Панфиловцев ул, дом № 14
105;"РОСТ ООО Супермаркет ""Седьмая столица"" (Хабаровск г, Краснореченская ул, дом 159)";УП-00080989;436AFB47-90F2-11E1-BF75-F46D04E31E4B;680023, Хабаровский край, Хабаровск г, Краснореченская ул, дом № 159
106;"РОСТ ООО Супермаркет ""Седьмая столица"" (Волочаевская ул, дом 85)";УП-00080653;829844B9-2B5A-11E5-85B1-005056A00499;680000, Хабаровский край, Хабаровск г, Волочаевская ул, дом № 85
107;Ника + ООО, Шевчука 27;УП-00077398;D694499C-2B5C-11E5-85B1-005056A00499;680007, Хабаровский край, Хабаровск г, Шевчука ул, дом № 27
108;"Восточная версия ООО Магазин""Мир маркет"" (Хабаровск г, Саратовская ул, 4А)";УП-00082832;96BE05C3-EC2C-11E5-80D9-44A8421C2298;680031, Хабаровский край, Хабаровск г, Саратовская ул, дом № 4, корпус А
110;Ст-Мега ООО Магазин Столица (Хабаровск г. 60-летия Октября пр-кт, дом № 162);УП-00086785;7FD9E732-48BE-11E6-80D0-44A8422A0503;680014, Хабаровский край, Хабаровск г, 60-летия Октября пр-кт, дом № 162
111;Опарина И. А. ИП (Хабаровск г, Костромская ул, 58А);УП-00080909;CEA17FEA-847B-11E2-B7A0-001E670756FD;680014, Хабаровский край, Хабаровск г, Костромская ул, дом № 58А
112;"Фортуна ООО, Магазин ""Продукты"" (Хабаровск г, Гамарника ул, дом 9)";УП-00079732;8BB0ADE1-90F3-11E1-BF75-F46D04E31E4B;680030, Хабаровский край, Хабаровск г, Гамарника ул, дом № 9
113;Виктория ООО, Виноводочный отдел (Хабаровск г, Краснореченская ул, дом 11);УП-00078431;3D753C59-2B5B-11E5-85B1-005056A00499;680000, Хабаровский край, Хабаровск г, Краснореченская ул, дом № 11
114;"РОСТ ООО Супермаркет ""Седьмая столица"" (Хабаровск г, Вахова А.А. ул, дом 2)";УП-00080808;FAFCB72D-CF2B-11E3-8BB5-001E675D2989;680023, Хабаровский край, Хабаровск г, Вахова А.А. ул, дом № 2
115;Наш квартал ООО (Хабаровск г, Ворошилова ул, 13);УП-00080737;D091E521-2B5C-11E5-85B1-005056A00499;680051, Хабаровский край, Хабаровск г, Ворошилова ул, дом № 13
117;"Луссо ООО, Магазин ""Продукты"" ( Хабаровск г, Калараша ул, дом 19А)";УП-00080633;5213E5D4-2B5A-11E5-85B1-005056A00499;680045, Хабаровский край, Хабаровск г, Калараша ул, дом № 19А
118;Ерофей ООО,Отрадный пер, 3, а;УП-00077432;E5A52579-2B5B-11E5-85B1-005056A00499;680041, Хабаровский край, Хабаровск г, Отрадный пер, дом № 3, корпус а
119;Видинеева Л.И. ИП (Хабаровск г, Чкалова ул, дом 19);УП-00080678;3D753C44-2B5B-11E5-85B1-005056A00499;680026, Хабаровский край, Хабаровск г, Чкалова ул, дом № 19
121;Супермаг ООО, Карла Маркса ул 39;УП-00080859;2D11EC07-DFB4-11E3-A044-001E675D2989;680000, Хабаровский край, Хабаровск г, Карла Маркса ул, дом № 39
122;СТ-Гамма ООО Суворова 44;УП-00077046;8298449E-2B5A-11E5-85B1-005056A00499;680051, Хабаровский край, Хабаровск г, Суворова ул, дом № 44
123;Холбобоев З. Х. ИП (Хабаровск г, Воровского ул, 36);УП-00078811;34229EFD-2B5E-11E5-85B1-005056A00499;680052, Хабаровский край, Хабаровск г, Воровского ул, дом № 36
124;Ерофей ООО, Суворова ул, 32;УП-00078948;E5A52575-2B5B-11E5-85B1-005056A00499;680051, Хабаровский край, Хабаровск г, Суворова ул, дом № 32
126;Хаб-Ритейл (г.Хабаровск ,ул. Королева 2);УП-00077058;CD858242-3B01-11E5-875F-005056A00499;680045, Хабаровский край, Хабаровск г, Королева ул, дом № 2
127;Столица-Реал (Хабаровск г, Серышева ул, дом № 52);УП-00079596;829844A7-2B5A-11E5-85B1-005056A00499;Хабаровский край, Хабаровск г, Серышева ул, дом № 52
129;Иванова А.В. ИП (Хабаровск г, Трехгорная ул, дом  84 а);УП-00077151;FDB59523-2B5B-11E5-85B1-005056A00499;680054, Хабаровский край, Хабаровск г, Трехгорная ул, дом № 84, корпус а
132;СТ-Гамма ООО пер. Ленинградский 13;УП-00078364;8298449F-2B5A-11E5-85B1-005056A00499;680021, Хабаровский край, Хабаровск г, Ленинградский пер, дом № 13
133;Николаева Т.И. ИП (Хабаровск г, Трубный пер, дом 6);УП-00079077;DC985BA7-2B5C-11E5-85B1-005056A00499;680007, Хабаровский край, Хабаровск г, Трубный пер, дом № 6
134;Мечта ООО (Хабаровск г, Рокоссовского ул, 40);УП-00078604;B272DB87-2B5C-11E5-85B1-005056A00499;680051, Хабаровский край, Хабаровск г, Рокоссовского ул, дом № 40
135;ООО Столица-Реал, г. Хабаровск, ул. Калинина, 8, пом.1;УП-00079597;4BCB6FC0-3B0F-11E5-875F-005056A00499;Хабаровский край, Хабаровск г, Калинина ул, дом № 8, помещение 1
136;Тамрия К ООО Прогрессивная 21;УП-00078947;41D3D696-0EB6-11E2-8988-001E670756FC;680000, Хабаровский край, Хабаровск г, Прогрессивная ул, дом № 21
138;Ерофей ООО, Гагарина ул, 4;УП-00079999;E5A52568-2B5B-11E5-85B1-005056A00499;680052, Хабаровский край, Хабаровск г, Гагарина ул, дом № 4
139;Гермес ООО (Хабаровск г, Руднева ул, дом  58);УП-00076514;8DFB6C44-90F2-11E1-BF75-F46D04E31E4B;680018, Хабаровский край, Хабаровск г, Руднева ул, дом № 58
140;Десятка ООО, Кирпичная_36б;УП-00076552;AB3C2A5A-90F2-11E1-BF75-F46D04E31E4B;680031, Хабаровский край, Хабаровск г, Кирпичная ул, дом № 36, корпус б
141;"Оксана ООО Магазин ""Продукты"" (Хабаровск г, Кирова ул, дом 21)";УП-00076679;23FE70D5-90F3-11E1-BF75-F46D04E31E4B;680018, Хабаровский край, Хабаровск г, Кирова ул, дом № 21
142;Любая Г.П ИП, ( Хабаровск г, Сергеевская ул, дом 26);УП-00081016;F7FBFFEE-90F2-11E1-BF75-F46D04E31E4B;680000, Хабаровский край, Хабаровск г, Сергеевская ул, дом № 26
143;"Сукноваленко Т.Л ИП""Магазин Ветеран""(Хабаровск г, Карла Маркса ул, дом 92)";УП-00078753;D3E8A86F-2B5D-11E5-85B1-005056A00499;680013, Хабаровский край, Хабаровск г, Карла Маркса ул, дом № 92
146;Уссурийский бальзам ТС ООО, ТЦ Смайл март (Хабаровск г, Морозова Павла Леонтьевича ул, 118);УП-00080429;F5D597D4-A782-11E5-80CF-44A84229F6DF;680000, Хабаровский край, Хабаровск г, Морозова Павла Леонтьевича ул, дом № 118
148;"Дуравкин И.В. ИП, Магазин ""Экономъ"" (Хабаровск г, Руднева ул, дом 29)";УП-00077622;B3022E5A-90F2-11E1-BF75-F46D04E31E4B;680000, Хабаровский край, Хабаровск г, Руднева ул, дом № 29
150;Управление торговли Восточного округа (Хабаровск г, Призывной пер, 1, пом. 1);УП-00077873;6A8EAE87-2309-11E2-B3B7-001E670756FC;680013, Хабаровский край, Хабаровск г, Призывной пер, дом № 1
151;"Оли ООО ТЦ ""Оазис""(Хабаровск г, Тихоокеанская ул, дом 130)";УП-00078101;F4AE70B7-2B5C-11E5-85B1-005056A00499;680042, Хабаровский край, Хабаровск г, Тихоокеанская ул, дом № 130
152;Ерофей ООО, Тургенева ул, д. 59;УП-00077431;E5A52577-2B5B-11E5-85B1-005056A00499;680000, Хабаровский край, Хабаровск г, Тургенева ул, дом № 59
153;"Продмаркет ООО Магазин ""Продмаркет"" (Хабаровский край, Хабаровск г, профессора Даниловского М.П. ул,";УП-00076717;3BD5CAAF-90F3-11E1-BF75-F46D04E31E4B;680054, Хабаровский край, Хабаровск г, профессора Даниловского М.П. ул, дом № 16А
154;Хаб-Ритейл ООО, № 1 Лермонтова 16;УП-00077057;829844AC-2B5A-11E5-85B1-005056A00499;680013, Хабаровский край, Хабаровск г, Лермонтова ул, дом № 16
155;Уссурийский бальзам ТС ООО (Хабаровск г, Руднева ул, 74);УП-00077281;09F333A6-2B5E-11E5-85B1-005056A00499;680018, Хабаровский край, Хабаровск г, Руднева ул, дом № 74
156;Волошко Г.С. ИП (Хабаровск г, Башенная ул, 18);УП-00078275;E9775F6B-9310-11E5-80CF-44A84229F6DF;680051, Хабаровский край, Хабаровск г, Башенная ул, дом № 18
157;Винлаб АО, (Хабаровск г, Краснореченская ул, 193);УП-00076969;45D2AECE-2B5A-11E5-85B1-005056A00499;680023, Хабаровский край, Хабаровск г, Краснореченская ул, дом № 193
159;Ерофей ООО, Краснореченская ул, д. 101, кор. а;УП-00078949;E5A5256C-2B5B-11E5-85B1-005056A00499;680000, Хабаровский край, Хабаровск г, Краснореченская ул, дом № 101, корпус а
160;Жидяева А.В. ИП, Краснореченская 9, ТЦ Марина;УП-00078508;EBA3B941-2B5B-11E5-85B1-005056A00499;680000, Хабаровский край, Хабаровск г, Краснореченская ул, дом № 9
161;СТ-Гамма ООО Шелеста 85;УП-00077048;8298449C-2B5A-11E5-85B1-005056A00499;680042, Хабаровский край, Хабаровск г, Шелеста ул, дом № 85
162;Тубис Ю.В. ИП (Хабаровск г, Ленская ул, дом 50а);УП-00078781;03F255A9-2B5E-11E5-85B1-005056A00499;680014, Хабаровский край, Хабаровск г, Ленская ул, дом № 50а
163;Интерформ ООО, Краснореченский пер_22а;УП-00077634;C321CC4D-90F2-11E1-BF75-F46D04E31E4B;680001, Хабаровский край, Хабаровск г, Краснореченский пер, дом № 22а
164;Рублик ООО (Хабаровск г, Брестская ул, 3 а, корп В);УП-00077255;6D144F1F-2B5D-11E5-85B1-005056A00499;680011, Хабаровский край, Хабаровск г, Брестская ул, дом № 3 а, корпус В
166;"Универсам ТК ООО Магазин ""Универсам""(Хабаровск г, Воровского ул, дом 10)";УП-00077733;83844E61-90F3-11E1-BF75-F46D04E31E4B;680052, Хабаровский край, Хабаровск г, Воровского ул, дом № 10
168;"Скиб-Торг ООО, Магазин ""Мир Вкуса"" (Хабаровск г, Войкова ул, дом 6)";УП-00077719;A345281F-2B5D-11E5-85B1-005056A00499;680000, Хабаровский край, Хабаровск г, Войкова ул, дом № 6
169;Рандеву ООО, Вино-водка (Хабаровск г, Руднева ул, 19);УП-00079592;4CD1CE82-87B2-11E5-80CE-44A84229F6DF;680018, Хабаровский край, Хабаровск г, Руднева ул, дом № 19
171;Асильбекова Н.В ИП (Хабаровск г, Клубная ул, дом 9,Отдел овощи);УП-00077574;DD631A09-2B5A-11E5-85B1-005056A00499;680032, Хабаровский край, Хабаровск г, Клубная ул, дом № 9
173;Хаб-Ритейл ООО (г.Хабаровск, ул. 60 лет Октября пр-кт 217);УП-00077055;829844AD-2B5A-11E5-85B1-005056A00499;680009, Хабаровский край, Хабаровск г, 60-летия Октября пр-кт, дом № 217
175;Барвинок ООО (Хабаровск г, Королева ул, дом 7);УП-00077575;F5775A53-2B5A-11E5-85B1-005056A00499;680045, Хабаровский край, Хабаровск г, Королева ул, дом № 7
176;Хаб-Ритейл ООО ул.Гагарина, дом  9;УП-00077056;829844AB-2B5A-11E5-85B1-005056A00499;680052, Хабаровский край, Хабаровск г, Гагарина ул, дом № 9
181;Грязнова Е. А. ИП (Хабаровск г, Барабинская ул, 6, корпус а);УП-00077443;9185F13D-2B5B-11E5-85B1-005056A00499;680041, Хабаровский край, Хабаровск г, Барабинская ул, дом № 6, корпус а
182;Новый ЭВР ООО, Эстафетная ул 38;УП-00077223;E890C82F-2B5C-11E5-85B1-005056A00499;680040, Хабаровский край, Хабаровск г, Эстафетная ул, дом № 38
183;СТ-Гамма ООО Стрельникова 8 а;УП-00077049;7C8D2D84-2B5A-11E5-85B1-005056A00499;680054, Хабаровский край, Хабаровск г, Стрельникова ул, дом № 8, корпус а
