Date;Time;Importance;Event;Actual;Forecast;Previous
2010/01/01;04:00;bull1;"Manufacturing Production (MoM) (Dec)";-0.10%;;1.00%
2010/01/01;04:00;bull1;"Manufacturing Payrolls (Dec)";-34.00K;;-29.00K
2010/01/01;04:00;bull1;"MBA 30-Year Mortgage Rate (Dec)";4.99%;;4.84%
2010/01/01;04:00;bull1;"MBA Purchase Index (Dec)";222.19;;221.00
2010/01/01;04:00;bull1;"Michigan 5-Year Inflation Expectations (Dec)";2.70%;;3.10%
2010/01/01;04:00;bull2;"Michigan Consumer Expectations (Dec)";69.70;;66.50
2010/01/01;04:00;bull1;"Michigan Current Conditions (Dec)";78.00;;69.60
2010/01/01;04:00;bull1;"Midwest Manufacturing (Dec)";73.40;;73.10
2010/01/01;04:00;bull1;"House Price Index (Dec)";191.90;;194.10
2010/01/01;04:00;bull1;"Mortgage Market Index (Dec)";570.75;;620.10
2010/01/01;04:00;bull1;"Mortgage Refinance Index (Dec)";2,661.53;;2,960.85
2010/01/01;04:00;bull2;"New Home Sales (MoM) (Dec)";-6.10%;;-5.30%
2010/01/01;04:00;bull1;"ISM-New York Index (Dec)";392.80;;386.20
2010/01/01;04:00;bull1;"NFIB Small Business Optimism (Dec)";88.00;;88.30
2010/01/01;04:00;bull1;"Overall Net Capital Flow (Dec)";66.00B;;27.30B
2010/01/01;04:00;bull1;"Pending Home Sales Index (Dec)";92.30;;95.20
2010/01/01;04:00;bull1;"Philly Fed Business Conditions (Dec)";33.60;;41.50
2010/01/01;04:00;bull1;"Philly Fed CAPEX Index (Dec)";12.60;;11.90
2010/01/01;04:00;bull2;"Philly Fed Employment (Dec)";4.00;;-4.00
2010/01/01;04:00;bull1;"Philly Fed New Orders (Dec)";3.30;;11.80
2010/01/01;04:00;bull1;"Philly Fed Prices Paid (Dec)";30.20;;22.60
2010/01/01;04:00;bull2;"Private Nonfarm Payrolls (Dec)";-232.00K;;-15.00K
2010/01/01;04:00;bull1;"Real Earnings (MoM) (Dec)";0.00%;;0.20%
2010/01/01;04:00;bull1;"Real Personal Consumption (MoM) (Dec)";0.50%;;0.00%
2010/01/01;04:00;bull1;"Redbook (YoY) (Dec)";1.88%;;2.51%
2010/01/01;04:00;bull1;"Redbook (MoM) (Dec)";-4.86%;;4.20%
2010/01/01;04:00;bull1;"Retail Control (MoM) (Dec)";0.80%;;0.00%
2010/01/01;04:00;bull1;"Retail Sales Ex Gas/Autos (MoM) (Dec)";0.50%;;0.30%
2010/01/01;04:00;bull1;"Richmond Manufacturing Shipments (Dec)";6.00;;10.00
2010/01/01;04:00;bull1;"Richmond Services Index (Dec)";-14.00;;-9.00
2010/01/01;04:00;bull1;"S&P/CS HPI Composite - 20 s.a. (MoM) (Dec)";0.50%;;0.50%
2010/01/01;04:00;bull1;"S&P/CS HPI Composite - 20 n.s.a. (MoM) (Dec)";-0.20%;;-0.20%
2010/01/01;04:00;bull1;"Texas Services Sector Outlook (Dec)";3.80;;-1.80
2010/01/01;04:00;bull1;"TIC Net Long-Term Transactions including Swaps (Dec)";60.50B;;112.40B
2010/01/01;15:30;bull2;"CFTC Crude Oil speculative net positions";94.1k;;75.3k
2010/01/01;15:30;bull2;"CFTC Gold speculative net positions";230.5K;;238.1K
2010/01/01;15:30;bull1;"CFTC Silver speculative net positions";38.7K;;39.7K
2010/01/03;10:30;bull3;"Fed Chairman Bernanke Speaks";;;
2010/01/04;10:00;bull3;"ISM Manufacturing PMI";55.9;54.0;53.6
2010/01/04;10:00;bull1;"ISM Manufacturing Prices";61.5;58.0;55.0
2010/01/05;Tentative;bull1;"Total Vehicle Sales";11.25M;11.00M;10.93M
2010/01/05;17:00;bull1;"Bloomberg Consumer Confidence";29.5;;28
2010/01/06;07:00;bull1;"MBA Mortgage Applications (WoW)";-22.8%;;-10.7%
2010/01/06;07:01;bull1;"MBA Mortgage Applications (WoW)";0.5%;;-22.8%
2010/01/06;07:30;bull1;"Challenger Job Cuts (YoY)";-72.9%;;-72.3%
2010/01/06;10:00;bull3;"ISM Non-Manufacturing PMI";50.1;50.5;48.7
2010/01/06;10:30;bull3;"Crude Oil Inventories";1.300M;;-1.500M
2010/01/06;14:00;bull3;"FOMC Meeting Minutes";;;
2010/01/07;10:30;bull1;"Natural Gas Storage";-153B;;-124B
2010/01/08;08:30;bull1;"Average Weekly Hours";33.2;33.2;33.2
2010/01/08;08:30;bull1;"U6 Unemployment Rate (Dec)";17.10%;;17.10%
2010/01/08;08:30;bull3;"Unemployment Rate";10.0%;10.1%;10.0%
2010/01/08;12:00;bull2;"U.S. Baker Hughes Oil Rig Count";427;;418
2010/01/08;15:30;bull2;"CFTC Crude Oil speculative net positions";108.8k;;94.1k
2010/01/08;15:30;bull2;"CFTC Gold speculative net positions";227.8K;;230.5K
2010/01/08;15:30;bull1;"CFTC Silver speculative net positions";39.5K;;38.7K
2010/01/12;10:00;bull1;"IBD/TIPP Economic Optimism";48.8;49.1;46.8
2010/01/12;17:00;bull1;"Bloomberg Consumer Confidence";26.5;;29.5
2010/01/13;07:00;bull1;"MBA Mortgage Applications (WoW)";14.3%;;0.5%
2010/01/13;10:30;bull3;"Crude Oil Inventories";3.700M;1.300M;1.300M
2010/01/13;14:00;bull2;"Beige Book";;;
2010/01/13;14:00;bull2;"Federal Budget Balance";-91.9B;-92.0B;-120.3B
2010/01/15;08:30;bull3;"Core CPI (MoM)";0.1%;0.1%;0.0%
2010/01/15;08:30;bull2;"CPI (MoM)";0.1%;0.2%;0.4%
2010/01/15;09:55;bull2;"Michigan Consumer Sentiment";72.8;73.8;72.5
2010/01/15;09:55;bull1;"Michigan Inflation Expectations";2.8%;;2.5%
2010/01/15;12:00;bull2;"U.S. Baker Hughes Oil Rig Count";425;;427
2010/01/15;15:30;bull2;"CFTC Crude Oil speculative net positions";135.7k;;108.8k
2010/01/15;15:30;bull2;"CFTC Gold speculative net positions";229.3K;;227.8K
2010/01/15;15:30;bull1;"CFTC Silver speculative net positions";44.5K;;39.5K
2010/01/19;13:00;bull1;"NAHB Housing Market Index";15;17;16
2010/01/19;17:00;bull1;"Bloomberg Consumer Confidence";25.5;;26.5
2010/01/20;07:00;bull1;"MBA Mortgage Applications (WoW)";9.1%;;14.3%
2010/01/20;08:30;bull2;"Core PPI (MoM)";0.0%;0.1%;0.5%
2010/01/20;08:30;bull3;"PPI (MoM)";0.2%;0.1%;1.8%
2010/01/21;10:30;bull1;"Natural Gas Storage";-245B;;-266B
2010/01/21;11:00;bull3;"Crude Oil Inventories";-0.400M;;3.700M
2010/01/22;12:00;bull2;"U.S. Baker Hughes Oil Rig Count";437;;425
2010/01/22;15:30;bull2;"CFTC Crude Oil speculative net positions";134.4k;;135.7k
2010/01/22;15:30;bull2;"CFTC Gold speculative net positions";221.5K;;229.3K
2010/01/22;15:30;bull1;"CFTC Silver speculative net positions";44.3K;;44.5K
2010/01/25;10:00;bull3;"Existing Home Sales";5.45M;5.95M;6.54M
2010/01/26;09:00;bull2;"S&P/CS HPI Composite - 20 n.s.a. (YoY)";-5.3%;-5.0%;-7.3%
2010/01/26;10:00;bull1;"Richmond Manufacturing Index";-2;0;-4
2010/01/26;17:00;bull1;"Bloomberg Consumer Confidence";26;;25.5
2010/01/27;07:00;bull1;"MBA Mortgage Applications (WoW)";-10.9%;;9.1%
2010/01/27;10:00;bull2;"Treasury Secretary Geithner Speaks";;;
2010/01/27;10:30;bull3;"Crude Oil Inventories";-3.900M;;-0.400M
2010/01/27;14:15;bull3;"Fed Interest Rate Decision";0.25%;0.25%;0.25%
2010/01/28;09:45;bull2;"Treasury Secretary Geithner Speaks";;;
2010/01/28;10:30;bull1;"Natural Gas Storage";-86B;;-245B
2010/01/29;08:30;bull2;"Employment Cost Index (QoQ)";0.5%;0.4%;0.4%
2010/01/29;08:30;bull3;"GDP (QoQ)";5.7%;4.5%;2.2%
2010/01/29;08:30;bull2;"GDP Price Index (QoQ)";0.6%;1.3%;0.4%
2010/01/29;09:55;bull2;"Michigan Consumer Sentiment";74.4;73.0;72.8
2010/01/29;09:55;bull1;"Michigan Inflation Expectations";2.8%;;2.8%
2010/01/29;12:00;bull2;"U.S. Baker Hughes Oil Rig Count";444;;437
2010/01/29;15:30;bull2;"CFTC Crude Oil speculative net positions";99.6k;;134.4k
2010/01/29;15:30;bull2;"CFTC Gold speculative net positions";211.9K;;221.5K
2010/01/29;15:30;bull1;"CFTC Silver speculative net positions";37.1K;;44.3K
2010/02/01;04:00;bull2;"10-Year Note Auction (Jan)";3.38%;;3.38%
2010/02/01;04:00;bull1;"3-Year Note Auction (Jan)";1.38%;;1.13%
2010/02/01;04:00;bull1;"30-Year Bond Auction (Jan)";4.38%;;4.38%
2010/02/01;04:00;bull1;"5-Year Note Auction (Jan)";2.25%;;2.63%
2010/02/01;04:00;bull1;"7-Year Note Auction (Jan)";3.13%;;3.25%
2010/02/01;04:00;bull1;"All Car Sales (Jan)";5.42M;;5.80M
2010/02/01;04:00;bull1;"All Truck Sales (Jan)";5.25M;;5.26M
2010/02/01;04:00;bull2;"Building Permits (MoM) (Jan)";-4.90%;;10.90%
2010/02/01;04:00;bull1;"CB Employment Trends Index (Jan)";96.70;;95.20
2010/02/01;04:00;bull1;"Chain Store Sales (MoM) (Jan)";3.00%;;3.60%
2010/02/01;04:00;bull1;"Chain Store Sales (WoW) (Jan)";-0.74%;;0.34%
2010/02/01;04:00;bull1;"Chain Store Sales (YoY) (Jan)";1.69%;;2.00%
2010/02/01;04:00;bull1;"Challenger Job Cuts (Jan)";71.48K;;45.09K
2010/02/01;04:00;bull1;"Chicago Fed National Activity (Jan)";0.18;;-0.66
2010/02/01;04:00;bull1;"Cleveland CPI (MoM) (Jan)";0.10%;;0.00%
2010/02/01;04:00;bull1;"Continuing Jobless Claims (Jan)";4,833.10K;;5,088.09K
2010/02/01;04:00;bull2;"Core CPI (YoY) (Jan)";1.60%;;1.80%
2010/02/01;04:00;bull1;"Core CPI Index (Jan)";220.63;;220.88
2010/02/01;04:00;bull2;"Core PCE Price Index (YoY) (Jan)";1.60%;;1.50%
2010/02/01;04:00;bull1;"CPI (YoY) (Jan)";2.60%;;2.70%
2010/02/01;04:00;bull1;"CPI Index, n.s.a. (Jan)";216.69;;215.95
2010/02/01;04:00;bull1;"Dallas Fed Mfg Business Index (Jan)";6.80;;3.80
2010/02/01;04:00;bull1;"Dallas Fed PCE (Jan)";0.90%;;0.60%
2010/02/01;04:00;bull1;"Dallas Fed Services Revenues (Jan)";11.70;;1.90
2010/02/01;04:00;bull1;"Domestic Truck Sales (Jan)";4.46M;;4.42M
2010/02/01;04:00;bull1;"Durables Excluding Defense (MoM) (Jan)";1.60%;;-2.50%
2010/02/01;04:00;bull1;"EIA Weekly Distillates Stocks (Jan)";-0.61M;;-1.51M
2010/02/01;04:00;bull2;"Existing Home Sales (MoM) (Jan)";-4.80%;;-19.10%
2010/02/01;04:00;bull2;"Export Price Index (MoM) (Jan)";0.80%;;0.70%
2010/02/01;04:00;bull1;"Factory orders ex transportation (MoM) (Jan)";0.80%;;1.00%
2010/02/01;04:00;bull1;"US Foreign Buying, T-bonds (Jan)";61.60B;;69.80B
2010/02/01;04:00;bull1;"Gasoline Inventories (Jan)";2.18M;;0.96M
2010/02/01;04:00;bull1;"Goods Orders Non Defense Ex Air (MoM) (Jan)";-2.90%;;1.30%
2010/02/01;04:00;bull1;"Government Payrolls (Jan)";9.00K;;-51.00K
2010/02/01;04:00;bull1;"House Price Index (YoY) (Jan)";-2.70%;;-2.00%
2010/02/01;04:00;bull2;"Housing Starts (MoM) (Jan)";5.70%;;-1.20%
2010/02/01;04:00;bull2;"ISM Manufacturing Employment (Jan)";53.60;;51.60
2010/02/01;04:00;bull1;"ISM Manufacturing New Orders Index (Jan)";62.90;;63.00
2010/02/01;04:00;bull1;"ISM Non-Manufacturing Business Activity (Jan)";51.50;;53.00
2010/02/01;04:00;bull2;"ISM Non-Manufacturing Employment (Jan)";44.80;;44.60
2010/02/01;04:00;bull1;"ISM Non-Manufacturing New Orders (Jan)";51.40;;51.60
2010/02/01;04:00;bull1;"ISM Non-Manufacturing Prices (Jan)";59.50;;58.50
2010/02/01;04:00;bull1;"Jobless Claims 4-Week Avg. (Jan)";476.08K;;485.47K
2010/02/01;04:00;bull3;"JOLTs Job Openings (Jan)";2.71M;;2.49M
2010/02/01;04:00;bull1;"KC Fed Composite Index (Jan)";5.00;;2.00
2010/02/01;04:00;bull1;"KC Fed Manufacturing Index (Jan)";13.00;;10.00
2010/02/01;04:00;bull1;"Manufacturing Production (MoM) (Jan)";1.10%;;-0.10%
2010/02/01;04:00;bull1;"Manufacturing Payrolls (Jan)";-15.00K;;-34.00K
2010/02/01;04:00;bull1;"MBA 30-Year Mortgage Rate (Jan)";5.05%;;4.99%
2010/02/01;04:00;bull1;"MBA Purchase Index (Jan)";222.03;;222.19
2010/02/01;04:00;bull1;"Michigan 5-Year Inflation Expectations (Jan)";2.90%;;2.60%
2010/02/01;04:00;bull2;"Michigan Consumer Expectations (Jan)";67.50;;68.90
2010/02/01;04:00;bull1;"Michigan Current Conditions (Jan)";81.10;;79.10
2010/02/01;04:00;bull1;"Midwest Manufacturing (Jan)";74.50;;73.40
2010/02/01;04:00;bull1;"House Price Index (Jan)";192.40;;191.90
2010/02/01;04:00;bull1;"Mortgage Market Index (Jan)";554.80;;570.75
2010/02/01;04:00;bull1;"Mortgage Refinance Index (Jan)";2,519.42;;2,661.53
2010/02/01;04:00;bull2;"New Home Sales (MoM) (Jan)";-2.00%;;-6.10%
2010/02/01;04:00;bull1;"ISM-New York Index (Jan)";401.40;;392.80
2010/02/01;04:00;bull1;"NFIB Small Business Optimism (Jan)";89.30;;88.00
2010/02/01;04:00;bull1;"Overall Net Capital Flow (Jan)";-4.30B;;66.00B
2010/02/01;04:00;bull1;"Pending Home Sales Index (Jan)";93.30;;92.30
2010/02/01;04:00;bull1;"Philly Fed Business Conditions (Jan)";41.00;;33.60
2010/02/01;04:00;bull1;"Philly Fed CAPEX Index (Jan)";13.40;;12.60
2010/02/01;04:00;bull2;"Philly Fed Employment (Jan)";3.10;;4.00
2010/02/01;04:00;bull1;"Philly Fed New Orders (Jan)";4.30;;3.30
2010/02/01;04:00;bull1;"Philly Fed Prices Paid (Jan)";27.50;;30.20
2010/02/01;04:00;bull2;"Private Nonfarm Payrolls (Jan)";23.00K;;-232.00K
2010/02/01;04:00;bull1;"Real Earnings (MoM) (Jan)";0.50%;;0.00%
2010/02/01;04:00;bull1;"Real Personal Consumption (MoM) (Jan)";-0.20%;;0.50%
2010/02/01;04:00;bull1;"Redbook (MoM) (Jan)";-1.46%;;-4.86%
2010/02/01;04:00;bull1;"Redbook (YoY) (Jan)";1.05%;;1.88%
2010/02/01;04:00;bull1;"Retail Control (MoM) (Jan)";0.20%;;0.80%
2010/02/01;04:00;bull1;"Retail Sales Ex Gas/Autos (MoM) (Jan)";-0.10%;;0.50%
2010/02/01;04:00;bull1;"Richmond Manufacturing Shipments (Jan)";13.00;;6.00
2010/02/01;04:00;bull1;"Richmond Services Index (Jan)";-10.00;;-14.00
2010/02/01;04:00;bull1;"S&P/CS HPI Composite - 20 s.a. (MoM) (Jan)";0.50%;;0.50%
2010/02/01;04:00;bull1;"S&P/CS HPI Composite - 20 n.s.a. (MoM) (Jan)";-0.40%;;-0.20%
2010/02/01;04:00;bull1;"Texas Services Sector Outlook (Jan)";3.20;;3.80
2010/02/01;04:00;bull1;"TIC Net Long-Term Transactions including Swaps (Jan)";-1.10B;;60.50B
2010/02/01;08:30;bull2;"Core PCE Price Index (MoM)";0.1%;0.1%;0.0%
2010/02/01;10:00;bull1;"ISM Manufacturing Prices";70.0;63.0;61.5
2010/02/01;10:00;bull2;"Treasury Secretary Geithner Speaks";;;
2010/02/02;10:00;bull2;"Treasury Secretary Geithner Speaks";;;
2010/02/02;16:00;bull1;"Total Vehicle Sales";10.78M;11.30M;11.25M
2010/02/02;17:00;bull1;"Bloomberg Consumer Confidence";25.5;;26
2010/02/03;07:00;bull1;"MBA Mortgage Applications (WoW)";21.0%;;-10.9%
2010/02/03;07:30;bull1;"Challenger Job Cuts (YoY)";-70.4%;;-72.9%
2010/02/03;10:00;bull2;"Treasury Secretary Geithner Speaks";;;
2010/02/03;10:30;bull3;"Crude Oil Inventories";2.300M;;-3.900M
2010/02/04;10:00;bull2;"Treasury Secretary Geithner Speaks";;;
2010/02/04;10:30;bull1;"Natural Gas Storage";-115B;;-86B
2010/02/05;08:30;bull2;"Average Hourly Earnings (MoM)";0.3%;0.2%;0.2%
2010/02/05;08:30;bull1;"Average Weekly Hours";33.3;33.7;33.2
2010/02/05;08:30;bull1;"U6 Unemployment Rate (Jan)";16.70%;;17.10%
2010/02/05;08:30;bull3;"Unemployment Rate";9.7%;10.0%;10.0%
2010/02/05;12:00;bull2;"U.S. Baker Hughes Oil Rig Count";445;;444
2010/02/05;15:30;bull2;"CFTC Crude Oil speculative net positions";86.0k;;99.6k
2010/02/05;15:30;bull2;"CFTC Gold speculative net positions";210.2K;;211.9K
2010/02/05;15:30;bull1;"CFTC Silver speculative net positions";30.9K;;37.1K
2010/02/06;13:15;bull2;"Treasury Secretary Geithner Speaks";;;
2010/02/09;10:00;bull1;"IBD/TIPP Economic Optimism";46.8;49.2;48.8
2010/02/09;17:00;bull1;"Bloomberg Consumer Confidence";26;;25.5
2010/02/10;07:00;bull1;"MBA Mortgage Applications (WoW)";-1.2%;;21.0%
2010/02/10;08:30;bull2;"Trade Balance";-40.2B;-35.0B;-36.4B
2010/02/10;10:00;bull3;"Fed Chairman Bernanke Testifies";;;
2010/02/12;08:30;bull3;"Core Retail Sales (MoM)";0.6%;0.4%;-0.2%
2010/02/12;09:55;bull2;"Michigan Consumer Sentiment";73.7;74.8;74.4
2010/02/12;09:55;bull1;"Michigan Inflation Expectations";2.7%;;2.8%
2010/02/12;10:30;bull1;"Natural Gas Storage";-191B;;-115B
2010/02/12;11:00;bull3;"Crude Oil Inventories";2.400M;;2.300M
2010/02/12;12:00;bull2;"U.S. Baker Hughes Oil Rig Count";443;;445
2010/02/12;15:30;bull2;"CFTC Crude Oil speculative net positions";42.1k;;86.0k
2010/02/12;15:30;bull2;"CFTC Gold speculative net positions";181.5K;;210.2K
2010/02/12;15:30;bull1;"CFTC Silver speculative net positions";23.4K;;30.9K
2010/02/16;08:30;bull2;"NY Empire State Manufacturing Index";24.9;17.0;15.9
2010/02/16;13:00;bull1;"NAHB Housing Market Index";17;16;15
2010/02/16;17:00;bull1;"Bloomberg Consumer Confidence";25.5;;26
2010/02/17;07:00;bull1;"MBA Mortgage Applications (WoW)";-2.1%;;-1.2%
2010/02/17;08:30;bull3;"Building Permits";0.620M;0.620M;0.650M
2010/02/17;14:00;bull2;"Federal Budget Balance";-42.6B;-46.0B;-91.9B
2010/02/17;14:00;bull3;"FOMC Meeting Minutes";;;
2010/02/18;08:30;bull2;"Core PPI (MoM)";0.3%;0.2%;0.0%
2010/02/18;10:00;bull3;"Philadelphia Fed Manufacturing Index";17.6;17.0;15.2
2010/02/18;10:30;bull1;"Natural Gas Storage";-190B;;-191B
2010/02/18;11:00;bull3;"Crude Oil Inventories";3.100M;;2.400M
2010/02/19;08:30;bull3;"Core CPI (MoM)";-0.1%;0.2%;0.1%
2010/02/19;12:00;bull2;"U.S. Baker Hughes Oil Rig Count";440;;443
2010/02/19;15:30;bull2;"CFTC Crude Oil speculative net positions";68.4k;;42.1k
2010/02/19;15:30;bull2;"CFTC Gold speculative net positions";188.9K;;181.5K
2010/02/19;15:30;bull1;"CFTC Silver speculative net positions";25.4K;;23.4K
2010/02/23;09:00;bull2;"S&P/CS HPI Composite - 20 n.s.a. (YoY)";-3.1%;-3.0%;-5.3%
2010/02/23;10:00;bull1;"Richmond Manufacturing Index";2;0;-2
2010/02/23;17:00;bull1;"Bloomberg Consumer Confidence";25;;25.5
2010/02/24;07:00;bull1;"MBA Mortgage Applications (WoW)";-8.5%;;-2.1%
2010/02/24;10:00;bull3;"Fed Chairman Bernanke Testifies";;;
2010/02/24;10:00;bull2;"Treasury Secretary Geithner Speaks";;;
2010/02/24;10:30;bull3;"Crude Oil Inventories";3.000M;;3.100M
2010/02/25;09:00;bull3;"Fed Chairman Bernanke Testifies";;;
2010/02/25;10:30;bull1;"Natural Gas Storage";-172B;;-190B
2010/02/26;08:30;bull3;"GDP (QoQ)";5.9%;5.6%;5.7%
2010/02/26;08:30;bull2;"GDP Price Index (QoQ)";0.4%;0.6%;0.6%
2010/02/26;09:45;bull2;"Chicago PMI";62.6;59.0;61.5
2010/02/26;09:55;bull2;"Michigan Consumer Sentiment";73.6;74.0;73.7
2010/02/26;09:55;bull1;"Michigan Inflation Expectations";2.7%;;2.7%
2010/02/26;12:00;bull2;"U.S. Baker Hughes Oil Rig Count";456;;440
2010/02/26;15:30;bull2;"CFTC Crude Oil speculative net positions";85.4k;;68.4k
2010/02/26;15:30;bull2;"CFTC Gold speculative net positions";200.6K;;188.9K
2010/02/26;15:30;bull1;"CFTC Silver speculative net positions";27.8K;;25.4K
2010/03/01;04:00;bull2;"10-Year Note Auction (Feb)";3.63%;;3.38%
2010/03/01;04:00;bull1;"3-Year Note Auction (Feb)";1.38%;;1.38%
2010/03/01;04:00;bull1;"30-Year Bond Auction (Feb)";4.63%;;4.38%
2010/03/01;04:00;bull1;"5-Year Note Auction (Feb)";2.38%;;2.25%
2010/03/01;04:00;bull1;"7-Year Note Auction (Feb)";3.00%;;3.13%
2010/03/01;04:00;bull1;"All Car Sales (Feb)";5.10M;;5.42M
2010/03/01;04:00;bull1;"All Truck Sales (Feb)";5.01M;;5.25M
2010/03/01;04:00;bull2;"Building Permits (MoM) (Feb)";-1.60%;;-4.90%
2010/03/01;04:00;bull1;"CB Employment Trends Index (Feb)";96.80;;96.70
2010/03/01;04:00;bull1;"Chain Store Sales (MoM) (Feb)";3.70%;;3.00%
2010/03/01;04:00;bull1;"Chain Store Sales (YoY) (Feb)";0.68%;;1.69%
2010/03/01;04:00;bull1;"Chain Store Sales (WoW) (Feb)";0.33%;;-0.74%
2010/03/01;04:00;bull1;"Challenger Job Cuts (Feb)";42.09K;;71.48K
2010/03/01;04:00;bull1;"Chicago Fed National Activity (Feb)";-0.62;;0.18
2010/03/01;04:00;bull1;"Cleveland CPI (MoM) (Feb)";0.00%;;0.10%
2010/03/01;04:00;bull1;"Continuing Jobless Claims (Feb)";4,793.75K;;4,833.10K
2010/03/01;04:00;bull2;"Core CPI (YoY) (Feb)";1.30%;;1.60%
2010/03/01;04:00;bull1;"Core CPI Index (Feb)";220.73;;220.63
2010/03/01;04:00;bull2;"Core PCE Price Index (YoY) (Feb)";1.50%;;1.60%
2010/03/01;04:00;bull1;"CPI (YoY) (Feb)";2.10%;;2.60%
2010/03/01;04:00;bull1;"CPI Index, n.s.a. (Feb)";216.74;;216.69
2010/03/01;04:00;bull1;"Dallas Fed Mfg Business Index (Feb)";-2.90;;6.80
2010/03/01;04:00;bull1;"Dallas Fed PCE (Feb)";0.70%;;0.90%
2010/03/01;04:00;bull1;"Dallas Fed Services Revenues (Feb)";9.80;;11.70
2010/03/01;04:00;bull1;"Domestic Truck Sales (Feb)";4.25M;;4.46M
2010/03/01;04:00;bull1;"Durables Excluding Defense (MoM) (Feb)";1.60%;;11.30%
2010/03/01;04:00;bull1;"EIA Weekly Distillates Stocks (Feb)";-1.18M;;-0.61M
2010/03/01;04:00;bull2;"Existing Home Sales (MoM) (Feb)";1.90%;;-4.80%
2010/03/01;04:00;bull2;"Export Price Index (MoM) (Feb)";-0.30%;;0.80%
2010/03/01;04:00;bull1;"Factory orders ex transportation (MoM) (Feb)";1.20%;;0.80%
